Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton
M-Migros,83610,Tramelan,"Rue Albert-Gobat 1, 2720 Tramelan",,2720,Tramelan,Bern
M-Migros,90341,Triesen,"Landstrasse 251, 9495 Triesen",,9495,Triesen,Zürich
M-Migros,93175,Turbenthal,"Tösstalstrasse 54, 8488 Turbenthal",,8488,Turbenthal,Zürich
M-Migros,90361,Tägerwilen,"Hauptstrasse 117, 8274 Tägerwilen",,8274,Tägerwilen,Zürich
M-Migros,33330,Uetendorf,"Dorfstrasse 21, 3661 Uetendorf",,3661,Uetendorf,Bern
M-Migros,150080,Uitikon-Waldegg,"Zürcherstrasse 8, 8142 Uitikon Waldegg",,8142,Uitikon,Zürich
MM-Migros,33653,Unterentfelden,"Binzmattweg 8, 5035 Unterentfelden",,5035,Unterentfelden,Aargau
M-Migros,96531,Unterwetzikon,"Hofstrasse 47, 8620 Wetzikon ZH",,8620,Wetzikon,Zürich
M-Migros,73760,Unterägeri,"Zugerstrasse 32, 6314 Unterägeri",,6314,Unterägeri,Luzern
M-Migros,150151,Urdorf - Spitzacker,"Birmensdorferstrasse 87, 8902 Urdorf",,8902,Urdorf,Zürich
MMM-Migros,150251,Uster - Illuster,"Zürichstrasse 20, 8610 Uster",,8610,Uster,Zürich
Migros Fachmarkt,150194,Uster-West,"Winterthurerstrasse 18, 8610 Uster",,8610,Uster,Zürich
M-Migros,33350,Utzenstorf - Linde,"Hauptstrasse 29, 3427 Utzenstorf",,3427,Utzenstorf,Bern
MM-Migros,150179,Uznach - Frohsinn,"Zürcherstrasse 25, 8730 Uznach",,8730,Uznach,Zürich
MM-Migros,90450,Uzwil - Birkenhof,"Lindenstrasse 5, 9240 Uzwil",,9240,Uzwil,Zürich
Voi,37338,VOI Aarburg,"Bahnhofstrasse 59, 4663 Aarburg",,4663,Aarburg,Solothurn
Voi,37322,VOI Aarwangen,"Langenthalstrasse 44, 4912 Aarwangen",,4912,Aarwangen,Bern
Voi,77357,VOI Alpnach,"Brünigstrasse 29, 6055 Alpnach Dorf",,6055,Alpnach,Obwalden
Voi,37335,VOI Baden - Mellingerstrasse,"Mellingerstrasse 142, 5400 Baden",,5400,Baden,Aargau
Voi,49103,VOI Bellevue,"Chemin des Romelles 17, 1293 Bellevue",,1293,Bellevue,Genève
Voi,37303,VOI Bern - Fellergut,"Mühledorfstrasse 15, 3018 Bern",,3018,Bern,Bern
Voi,37306,VOI Bern - Fischermätteli,"Könizstrasse 60, 3008 Bern",,3008,Bern,Bern
Voi,37343,VOI Bern - Kramgasse,"Kramgasse 54, 3011 Bern",,3011,Bern,Bern
Voi,37311,VOI Bern - Schosshalde,"Schossshaldenstrasse 16, 3006 Bern",,3006,Bern,Bern
Voi,37325,VOI Bern - Spiegel,"Chasseralstrasse 156, 3095 Bern",,3095,Bern,Bern
Voi,37334,VOI Bern - Viktoriastrasse,"Viktoriastrasse 49, 3013 Bern",,3013,Bern,Bern
Voi,37351,VOI Bern Warmbächli,"Holligerplatz 1, 3008 Bern",,3008,Bern,Bern
Voi,77350,VOI Beromünster,"Aargauerstrasse 16, 6215 Beromünster",,6215,Beromünster,Luzern
Voi,37314,VOI Bettlach,"Dorfstrasse 12, 2544 Bettlach",,2544,Bettlach,Solothurn
Voi,37345,VOI Biel - Jardin du Paradis,"Jakob-Stämpflistrasse 112, 2502 Biel/Bienne",,2502,Biel,Bern
Voi,37319,VOI Biel - Mett,"Schollstrasse 2, 2504 Biel/Bienne",,2504,Biel,Bern
Voi,37339,VOI Boll,"Kernstrasse 9, 3067 Boll",,3067,Boll,Bern
Voi,150816,VOI Bonstetten,"Schachenstrasse 115, 8906 Bonstetten",,8906,Bonstetten,Zürich
Voi,37307,VOI Brügg,"Hauptstrasse 17, 2555 Brügg BE",,2555,Brügg,Bern
Voi,150802,VOI Buchs ZH,"Meierwiesenstrasse 20, 8107 Buchs",,8107,Buchs,Zürich
Voi,77354,VOI Büron,"Sagipark 7, 6233 Büron",,6233,Büron,Luzern
Voi,37321,VOI Dulliken,"Grundstrasse 1, 4657 Dulliken",,4657,Dulliken,Solothurn
Voi,49100,VOI Genève-Cirque,"Place du Cirque 2, 1204 Genève",,1204,Genève,Genève
Voi,150806,VOI Geroldswil,"Huebwiesenstrasse 26b, 8954 Geroldswil",,8954,Geroldswil,Zürich
Voi,49102,VOI Gland,"Rue du Borgeaud 10d, 1196 Gland",,1196,Gland,Vaud
Voi,37308,VOI Grindelwald,"Dorfstrasse 155, 3818 Grindelwald",,3818,Grindelwald,Bern
Voi,150803,VOI Horgen,"Seestrasse 288, 8810 Horgen",,8810,Horgen,Zürich
Voi,37324,VOI Ins,"Moosgasse 7, 3232 Ins",,3232,Ins,Bern
Voi,37323,VOI Jegenstorf,"Solothurnstrasse 24, 3303 Jegenstorf",,3303,Jegenstorf,Bern
Voi,37344,VOI Kappel,"Mittelgäustrasse 22, 4616 Kappel SO",,4616,Kappel,Solothurn
Voi,150813,VOI Kilchberg,"Bahnhofstrasse 3, 8802 Kilchberg ZH",,8802,Kilchberg,Zürich
Voi,37355,VOI Köniz-Neuhausplatz,"Könizstrasse 251, 3097 Liebefeld",,3097,Liebefeld,Bern
Voi,37328,VOI Lengnau,"Bielstrasse 35, 2543 Lengnau BE",,2543,Lengnau,Bern
Voi,37356,VOI Lenzburg,"Augustin Keller-Strasse 19, 5600 Lenzburg",,5600,Lenzburg,Aargau
Voi,77355,VOI Luzern Wesemlin,"Abendweg 46, 6006 Luzern",,6006,Luzern,Aargau
Voi,49101,VOI Meyrin - Les Vergers,"3, place de la Diversité, 1217 Meyrin",,1217,Meyrin,Genève
Voi,37316,VOI Niederbipp,"Wydenstrasse 9, 4704 Niederbipp",,4704,Niederbipp,Solothurn
Voi,37317,VOI Niedergösgen,"Aarestrasse 49, 5013 Niedergösgen",,5013,Niedergösgen,Solothurn
Voi,37336,VOI Niederlenz,"Lenzburgerstrasse 2, 5702 Niederlenz",,5702,Niederlenz,Aargau
