Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Holzikerstrasse 8, 5040 Schöftland, Switzerland",Holzikerstrasse 8,5040,Schöftland,Aargau,Switzerland,47.3119139,8.049971599999997,4.3,152,SPAR,ChIJUf_G91ojkEcRy9_wZlTFKUM,,0630,0630,0630,0630,0630,0630,,2000,2000,2000,2000,2000,1800
"Galliweg, 4852 Rothrist, Switzerland",Galliweg,4852,Rothrist,Aargau,Switzerland,47.3027594,7.877554699999999,4.3,122,SPAR Supermarkt Rothrist,ChIJ1x1BqVsukEcRVIFo-WUbU6g,,0700,0700,0700,0700,0700,0730,,1900,1900,1900,1900,1900,1800
"Regensdorferstrasse 2, 8104 Weiningen, Switzerland",Regensdorferstrasse 2,8104,Weiningen,Zürich,Switzerland,47.419928,8.434778,4.3,130,SPAR Supermarkt Weiningen,ChIJsbQzS_MMkEcRUydSS4c9xwA,,0700,0700,0700,0700,0700,0700,,2000,2000,2000,2000,2000,1900
"Badenerstrasse 104, 8952 Schlieren, Switzerland",Badenerstrasse 104,8952,Schlieren,Zürich,Switzerland,47.3976295,8.430797199999999,4.1,52,SPAR,ChIJSQ7FarANkEcRT5b4QxDirUM,,0700,0700,0700,0700,0700,0700,,2000,2000,2000,2000,2000,1800
"Bachstrasse 11, 8902 Urdorf, Switzerland",Bachstrasse 11,8902,Urdorf,Zürich,Switzerland,47.381913,8.423735599999999,4.3,168,SPAR,ChIJ4URWvBgMkEcRkBRAG77pLIE,,0700,0700,0700,0700,0700,0700,,2000,2000,2000,2000,2000,1900
"Pumpwerkstrasse 56, 8105 Regensdorf, Switzerland",Pumpwerkstrasse 56,8105,Regensdorf,Zürich,Switzerland,47.4453521,8.464095499999999,4.2,291,SPAR,ChIJ2TWFZ6kMkEcR2y1Kg6PeByk,,0600,0600,0600,0600,0600,0600,,2100,2100,2100,2100,2100,2100
"Oltnerstrasse 62, 5012 Schönenwerd, Switzerland",Oltnerstrasse 62,5012,Schönenwerd,Solothurn,Switzerland,47.36885789999999,8.0004329,4.0,50,SPAR express Schönenwerd,ChIJTwHg91Y6kEcROdPia3ljbVo,0600,0530,0530,0530,0530,0530,0600,2200,2200,2200,2200,2200,2200,2200
"Schmiedgasse 10, 6460 Altdorf, Switzerland",Schmiedgasse 10,6460,Altdorf,Uri,Switzerland,46.8809318,8.645529699999999,4.7,15,SPAR Supermarkt Altdorf,ChIJ9VAoToRDhUcRcCHERMPdTVs,,0730,0730,0730,0730,0730,0730,,1830,1830,1830,1830,1830,1600
"Oberibergerstrasse 5, 8842 Unteriberg, Switzerland",Oberibergerstrasse 5,8842,Unteriberg,Zürich,Switzerland,47.0584719,8.800525300000002,4.5,152,SPAR Supermarkt Unteriberg,ChIJtY24sEVKhUcRCh_eqFFdhDE,,0700,0700,0700,0700,0700,0700,,1930,1930,1930,1930,1930,1800
"Bahnhofstrasse 3, 6415 Arth, Switzerland",Bahnhofstrasse 3,6415,Arth,Uri,Switzerland,47.06452269999999,8.5235764,4.4,110,SPAR Supermarkt Arth,ChIJSaQUwBdUhUcRBMq-Z9t3mpY,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1500
"Hauptstrasse 97, 6436 Muotathal, Switzerland",Hauptstrasse 97,6436,Muotathal,Uri,Switzerland,46.9725644,8.7668552,4.5,78,SPAR Supermarkt Muotathal,ChIJncl_uWZIhUcR_2afy5Ki8TA,,1300,1300,1300,1300,1300,0700,,1830,1830,1830,1830,1830,1600
"Pilgerweg 45, 8803 Rüschlikon, Switzerland",Pilgerweg 45,8803,Rüschlikon,Zürich,Switzerland,47.3062584,8.5562832,4.3,67,SPAR,ChIJ0wW2h8enmkcRSwqCT_tRZtg,,0700,0700,0700,0700,0700,0700,,2000,2000,2000,2000,2000,1800
"Robert-Durrerstrasse 22, 6370 Stans, Switzerland",Robert-Durrerstrasse 22,6370,Stans,Nidwalden,Switzerland,46.96040620000001,8.3649572,4.5,122,SPAR Supermarkt Stans,ChIJU2Tf0g73j0cRClAVBmVQsWo,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Luzernerstrasse 101, 6333 Hünenberg, Switzerland",Luzernerstrasse 101,6333,Hünenberg,Zug,Switzerland,47.1734741,8.449087899999999,4.3,107,SPAR Grocery Store Hünenberg,ChIJXalUp1kAkEcRbRvDvMJ3De0,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Bahnhofstrasse 10, 6300 Zug, Switzerland",Bahnhofstrasse 10,6300,Zug,Zug,Switzerland,47.1685704,8.515969900000002,4.0,139,Spar Supermarkt,ChIJPZasDPeqmkcR8-VKK3J0-1o,,0700,0700,0700,0700,0700,0800,,1900,1900,1900,2000,1900,1700
"Buonaserstrasse 17, 6343 Risch-Rotkreuz, Switzerland",Buonaserstrasse 17,6343,Risch-Rotkreuz,Zug,Switzerland,47.1411954,8.430786699999999,4.1,122,SPAR,ChIJJxlSgCkAkEcRXUdq4iTUNZk,,0600,0600,0600,0600,0600,0600,,1900,1900,1900,1900,2000,1700
"Bahnhofstrasse 42, 8305 Dietlikon, Switzerland",Bahnhofstrasse 42,8305,Dietlikon,Zürich,Switzerland,47.42318119999999,8.6186765,4.3,99,SPAR Supermarkt Dietlikon,ChIJJc3UKcahmkcRwjCGcQV3GGs,,0700,0700,0700,0700,0700,0700,,2000,2000,2000,2000,2000,2000
"Leutschenstrasse 3/5, 8807 Freienbach, Switzerland",Leutschenstrasse 3/5,8807,Freienbach,Zürich,Switzerland,47.2064205,8.754300100000002,4.2,116,SPAR Supermarkt Freienbach,ChIJWZVhPmmxmkcRF2Zc267JJmA,,0700,0700,0700,0700,0700,0700,,1930,1930,1930,1930,1930,1800
"Beckenriederstrasse 5, 6374 Buochs, Switzerland",Beckenriederstrasse 5,6374,Buochs,Nidwalden,Switzerland,46.97395299999999,8.4214793,4.4,167,SPAR Supermarkt Buochs,ChIJH3uPQP33j0cRLlsUT2Mi3v0,0800,0730,0730,0730,0730,0730,0700,1300,1900,1900,1900,1900,1900,1700
"Dorfstrasse 3, 8834 Schindellegi, Switzerland",Dorfstrasse 3,8834,Schindellegi,Zürich,Switzerland,47.1743899,8.7113456,4.2,93,SPAR Supermarkt Schindellegi,ChIJa9Siy0eymkcRUGMfNzcoZVg,,0700,0700,0700,0700,0700,0700,,1930,1930,1930,1930,1930,1800
