Address,Street Name,Zip Code,City,Canton,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Sunday_Open,Monday_Open,Tuesday_Open,Wednesday_Open,Thursday_Open,Friday_Open,Saturday_Open,Sunday_Close,Monday_Close,Tuesday_Close,Wednesday_Close,Thursday_Close,Friday_Close,Saturday_Close
"Zugerstrasse 15 / 17, 6330 Cham, Switzerland",Zugerstrasse 15 / 17,6330,Cham,Zug,Switzerland,47.1817324,8.461333100000001,4.1,51,Denner Discount,ChIJB8PBtowAkEcRODGSZM6fd0U,,0800,0800,0800,0800,0800,0730,,1900,1900,1900,1900,2000,1700
"Pilatusstrasse 10, 6060 Sarnen, Switzerland",Pilatusstrasse 10,6060,Sarnen,Obwalden,Switzerland,46.9001038,8.2480329,4.3,114,Denner Discount,ChIJqQFBpjfyj0cRpbKNt2qb6Mw,,0730,0730,0730,0730,0730,0730,,2000,2000,2000,2000,2000,1800
"Nelkenstrasse 5, 6060 Sarnen, Switzerland",Nelkenstrasse 5,6060,Sarnen,Obwalden,Switzerland,46.8966609,8.2491094,4.2,12,Denner Discount,ChIJ5wqK5knyj0cRS32-llg9cCg,,0800,0800,0800,0800,0800,0800,,2000,2000,2000,2000,2000,1800
"Dorfpl. 5, 6072 Sachseln, Switzerland",Dorfpl. 5,6072,Sachseln,Obwalden,Switzerland,46.86857569999999,8.2396469,4.4,183,Denner Partner,ChIJQYc4KOXyj0cRD-KqBgKEygQ,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,1900,1700
"Ebisquare Str. 1, 6030 Ebikon, Switzerland",Ebisquare Str. 1,6030,Ebikon,Luzern,Switzerland,47.0943383,8.3586488,3.6,17,Denner Discount,ChIJEd3rOib8j0cR8WQ7G-uHPeM,,0900,0900,0900,0900,0900,0800,,1900,1900,1900,1900,2100,1700
"Bd de Pérolles 55, 1700 Fribourg, Switzerland",Bd de Pérolles 55,1700,Fribourg,Fribourg,Switzerland,46.79663799999999,7.154647,4.0,352,Denner Discount,ChIJi1kLzSlpjkcRHuhdMGjKOpo,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,1900,1600
"Av. Jean-Marie-Musy 15A, 1700 Fribourg, Switzerland",Av. Jean-Marie-Musy 15A,1700,Fribourg,Fribourg,Switzerland,46.809192,7.174689399999999,4.3,94,Denner Discount,ChIJX5Q8fxZpjkcRAHaV1-Pb3kA,,0730,0730,0730,0730,0730,0730,,1900,1900,1900,1900,1900,1600
"Rte de la Gruyère 19, 1700 Fribourg, Switzerland",Rte de la Gruyère 19,1700,Fribourg,Fribourg,Switzerland,46.7948373,7.142525000000001,4.1,164,Denner Satellit,ChIJO2yQs8P0jkcRroyg8mz90Sw,0800,0730,0730,0730,0730,0730,0730,1300,1900,1900,1900,1900,1900,1600
"Rue du Criblet 4, 1700 Fribourg, Switzerland",Rue du Criblet 4,1700,Fribourg,Fribourg,Switzerland,46.8046939,7.153720999999999,4.4,22,Denner Express,ChIJXWkz1ThpjkcRyAa8nEXwQag,,0700,0700,0700,0700,0700,0700,,1900,1900,1900,1900,2100,1600
"Chem. de Bethléem 3-7, 1700 Fribourg, Switzerland",Chem. de Bethléem 3-7,1700,Fribourg,Fribourg,Switzerland,46.80069619999999,7.144870500000001,4.4,43,Denner Express,ChIJd42LkOlvjkcRmODjK9qQ77Y,0800,0730,0730,0730,0730,0730,0800,1200,1900,1900,1900,1900,1900,1600
