Unnamed: 0,Address,Street Name,Zip Code,City,Country,Latitude,Longitude,Rating,Number of Ratings,Place Name,Place ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Canton
161,"Bärengasse 16, 8001 Zürich, Switzerland",Bärengasse 16,8001,Zürich,Switzerland,47.37006189999999,8.537119299999999,4.2,300,Coop Supermarkt Zürich Bärengasse,ChIJJVh4EgEKkEcRbF_BNhkt9yU,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,630.0,2000.0,630.0,2000.0,630.0,2000.0,630.0,2000.0,630.0,2000.0,700.0,1700.0,,,Zürich
162,"Schwamendingenstrasse 39, 8050 Zürich, Switzerland",Schwamendingenstrasse 39,8050,Zürich,Switzerland,47.4076242,8.5490836,4.0,287,Coop Supermarkt Zürich Dorflinde,ChIJk3synY8KkEcRPiSd8bYbHLo,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,,,Zürich
163,"Bahnhofstrasse 57, 8001 Zürich, Switzerland",Bahnhofstrasse 57,8001,Zürich,Switzerland,47.372955,8.5378441,4.3,3492,Coop Supermarkt City Zürich St. Annahof Food,ChIJXyZCmMILkEcRSFi34qPZI5U,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,,,Zürich
164,"Stadelhoferstrasse 10, 8001 Zürich, Switzerland",Stadelhoferstrasse 10,8001,Zürich,Switzerland,47.366789,8.5480012,4.2,797,Coop Supermarkt Zürich Stadelhofen,ChIJe4Xxp-ChmkcRQoDwtFTPTeQ,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,700.0,2200.0,Zürich
165,"Pfingstweidstrasse 106, 8005 Zürich, Switzerland",Pfingstweidstrasse 106,8005,Zürich,Switzerland,47.3911184,8.508009699999999,4.1,245,Coop Supermarkt Zürich Hard Turm Park,ChIJPWPbBkkKkEcR8X-nb94BlVI,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,630.0,2100.0,630.0,2100.0,630.0,2100.0,630.0,2100.0,630.0,2100.0,800.0,2100.0,,,Zürich
166,"Bahnhofstrasse 3, 8965 Berikon, Switzerland",Bahnhofstrasse 3,8965,Berikon,Switzerland,47.3617778,8.3678741,4.2,423,Coop Supermarkt Berikon,ChIJyzAVIxUOkEcRlUCgTJt4Dx4,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,730.0,2000.0,,,Aargau
167,"Sonnengutstrasse 2, 5620 Bremgarten, Switzerland",Sonnengutstrasse 2,5620,Bremgarten,Switzerland,47.35163379999999,8.3482326,4.2,549,Coop Supermarkt Bremgarten,ChIJS6iK0P8QkEcRnEv7KYoIUAw,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,730.0,1800.0,,,Aargau
168,"Bahnhofpl. 3D, 5000 Aarau, Switzerland",Bahnhofpl. 3D,5000,Aarau,Switzerland,47.39170709999999,8.052484999999997,4.0,802,Coop Supermarkt Aarau Bahnhof,ChIJTWydZ-87kEcR-xa9r2Of1f0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,600.0,2200.0,800.0,2200.0,Aargau
169,"Augustin Keller-Strasse 31, 5600 Lenzburg, Switzerland",Augustin Keller-Strasse 31,5600,Lenzburg,Switzerland,47.3898983,8.1709035,4.3,1010,Coop Supermarkt Lenzburg,ChIJNVzgHwYWkEcRdlP3sqJoMDc,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,730.0,2000.0,,,Aargau
170,"Zentrum 2, 5443 Niederrohrdorf, Switzerland",Zentrum 2,5443,Niederrohrdorf,Switzerland,47.4237754,8.305169099999999,4.0,256,Coop Supermarkt Niederrohrdorf,ChIJQXTmgwcTkEcRV--dNn39fGg,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,730.0,1900.0,,,Aargau
